id,date,weekday,description
202,2021-07-21,周三,工作日
203,2021-07-22,周四,工作日
204,2021-07-23,周五,工作日
205,2021-07-24,周六,周末
206,2021-07-25,周日,周末
207,2021-07-26,周一,工作日
208,2021-07-27,周二,工作日
209,2021-07-28,周三,工作日
210,2021-07-29,周四,工作日
211,2021-07-30,周五,工作日
212,2021-07-31,周六,周末
213,2021-08-01,周日,周末
214,2021-08-02,周一,工作日
215,2021-08-03,周二,工作日
216,2021-08-04,周三,工作日
217,2021-08-05,周四,工作日
218,2021-08-06,周五,工作日
219,2021-08-07,周六,周末
220,2021-08-08,周日,周末
221,2021-08-09,周一,工作日
222,2021-08-10,周二,工作日
223,2021-08-11,周三,工作日
224,2021-08-12,周四,工作日
225,2021-08-13,周五,工作日
226,2021-08-14,周六,周末
227,2021-08-15,周日,周末
228,2021-08-16,周一,工作日
229,2021-08-17,周二,工作日
230,2021-08-18,周三,工作日
231,2021-08-19,周四,工作日
232,2021-08-20,周五,工作日
233,2021-08-21,周六,周末
234,2021-08-22,周日,周末
235,2021-08-23,周一,工作日
236,2021-08-24,周二,工作日
237,2021-08-25,周三,工作日
238,2021-08-26,周四,工作日
239,2021-08-27,周五,工作日
240,2021-08-28,周六,周末
241,2021-08-29,周日,周末
242,2021-08-30,周一,工作日
243,2021-08-31,周二,工作日
244,2021-09-01,周三,工作日
245,2021-09-02,周四,工作日
246,2021-09-03,周五,工作日
247,2021-09-04,周六,周末
248,2021-09-05,周日,周末
249,2021-09-06,周一,工作日
250,2021-09-07,周二,工作日
251,2021-09-08,周三,工作日
252,2021-09-09,周四,工作日
253,2021-09-10,周五,工作日
254,2021-09-11,周六,周末
255,2021-09-12,周日,周末
256,2021-09-13,周一,工作日
257,2021-09-14,周二,工作日
258,2021-09-15,周三,工作日
259,2021-09-16,周四,工作日
260,2021-09-17,周五,工作日
261,2021-09-18,周六,中秋节
262,2021-09-19,周日,中秋节
263,2021-09-20,周一,中秋节
264,2021-09-21,周二,中秋节
265,2021-09-22,周三,工作日
266,2021-09-23,周四,工作日
267,2021-09-24,周五,工作日
268,2021-09-25,周六,周末
269,2021-09-26,周日,国庆节
270,2021-09-27,周一,工作日
271,2021-09-28,周二,工作日
272,2021-09-29,周三,工作日
273,2021-09-30,周四,工作日
274,2021-10-01,周五,国庆节
275,2021-10-02,周六,国庆节
276,2021-10-03,周日,国庆节
277,2021-10-04,周一,国庆节
278,2021-10-05,周二,国庆节
279,2021-10-06,周三,国庆节
280,2021-10-07,周四,国庆节
281,2021-10-08,周五,工作日
282,2021-10-09,周六,国庆节
283,2021-10-10,周日,周末
284,2021-10-11,周一,工作日
285,2021-10-12,周二,工作日
286,2021-10-13,周三,工作日
287,2021-10-14,周四,工作日
288,2021-10-15,周五,工作日
289,2021-10-16,周六,周末
290,2021-10-17,周日,周末
291,2021-10-18,周一,工作日
292,2021-10-19,周二,工作日
293,2021-10-20,周三,工作日
294,2021-10-21,周四,工作日
295,2021-10-22,周五,工作日
296,2021-10-23,周六,周末
297,2021-10-24,周日,周末
298,2021-10-25,周一,工作日
299,2021-10-26,周二,工作日
300,2021-10-27,周三,工作日
301,2021-10-28,周四,工作日
302,2021-10-29,周五,工作日
303,2021-10-30,周六,周末
304,2021-10-31,周日,周末
305,2021-11-01,周一,工作日
306,2021-11-02,周二,工作日
307,2021-11-03,周三,工作日
308,2021-11-04,周四,工作日
309,2021-11-05,周五,工作日
310,2021-11-06,周六,周末
311,2021-11-07,周日,周末
312,2021-11-08,周一,工作日
313,2021-11-09,周二,工作日
314,2021-11-10,周三,工作日
315,2021-11-11,周四,工作日
316,2021-11-12,周五,工作日
317,2021-11-13,周六,周末
318,2021-11-14,周日,周末
319,2021-11-15,周一,工作日
320,2021-11-16,周二,工作日
321,2021-11-17,周三,工作日
322,2021-11-18,周四,工作日
323,2021-11-19,周五,工作日
324,2021-11-20,周六,周末
325,2021-11-21,周日,周末
326,2021-11-22,周一,工作日
327,2021-11-23,周二,工作日
328,2021-11-24,周三,工作日
329,2021-11-25,周四,工作日
330,2021-11-26,周五,工作日
331,2021-11-27,周六,周末
332,2021-11-28,周日,周末
333,2021-11-29,周一,工作日
334,2021-11-30,周二,工作日
335,2021-12-01,周三,工作日
336,2021-12-02,周四,工作日
337,2021-12-03,周五,工作日
338,2021-12-04,周六,周末
339,2021-12-05,周日,周末
340,2021-12-06,周一,工作日
341,2021-12-07,周二,工作日
342,2021-12-08,周三,工作日
343,2021-12-09,周四,工作日
344,2021-12-10,周五,工作日
345,2021-12-11,周六,周末
346,2021-12-12,周日,周末
347,2021-12-13,周一,工作日
348,2021-12-14,周二,工作日
349,2021-12-15,周三,工作日
350,2021-12-16,周四,工作日
351,2021-12-17,周五,工作日
352,2021-12-18,周六,周末
353,2021-12-19,周日,周末
354,2021-12-20,周一,工作日
355,2021-12-21,周二,工作日
356,2021-12-22,周三,工作日
357,2021-12-23,周四,工作日
358,2021-12-24,周五,工作日
359,2021-12-25,周六,周末
360,2021-12-26,周日,周末
361,2021-12-27,周一,工作日
362,2021-12-28,周二,工作日
363,2021-12-29,周三,工作日
364,2021-12-30,周四,工作日
365,2021-12-31,周五,工作日
366,2022-01-01,周六,元旦
367,2022-01-02,周日,元旦
368,2022-01-03,周一,元旦
369,2022-01-04,周二,工作日
370,2022-01-05,周三,工作日
371,2022-01-06,周四,工作日
372,2022-01-07,周五,工作日
373,2022-01-08,周六,周末
374,2022-01-09,周日,周末
375,2022-01-10,周一,工作日
376,2022-01-11,周二,工作日
377,2022-01-12,周三,工作日
378,2022-01-13,周四,工作日
379,2022-01-14,周五,工作日
380,2022-01-15,周六,周末
381,2022-01-16,周日,周末
382,2022-01-17,周一,工作日
383,2022-01-18,周二,工作日
384,2022-01-19,周三,工作日
385,2022-01-20,周四,工作日
386,2022-01-21,周五,工作日
387,2022-01-22,周六,周末
388,2022-01-23,周日,周末
389,2022-01-24,周一,工作日
390,2022-01-25,周二,工作日
391,2022-01-26,周三,工作日
392,2022-01-27,周四,工作日
393,2022-01-28,周五,工作日
394,2022-01-29,周六,春节
395,2022-01-30,周日,春节
396,2022-01-31,周一,春节
397,2022-02-01,周二,春节
398,2022-02-02,周三,春节
399,2022-02-03,周四,春节
400,2022-02-04,周五,春节
401,2022-02-05,周六,春节
402,2022-02-06,周日,春节
403,2022-02-07,周一,工作日
404,2022-02-08,周二,工作日
405,2022-02-09,周三,工作日
406,2022-02-10,周四,工作日
407,2022-02-11,周五,工作日
408,2022-02-12,周六,周末
409,2022-02-13,周日,周末
410,2022-02-14,周一,工作日
411,2022-02-15,周二,工作日
