id,date,weekday,description
880,2023-05-30,周二,工作日
881,2023-05-31,周三,工作日
882,2023-06-01,周四,工作日
883,2023-06-02,周五,工作日
884,2023-06-03,周六,周末
885,2023-06-04,周日,周末
886,2023-06-05,周一,工作日
887,2023-06-06,周二,工作日
888,2023-06-07,周三,工作日
889,2023-06-08,周四,工作日
890,2023-06-09,周五,工作日
891,2023-06-10,周六,周末
892,2023-06-11,周日,周末
893,2023-06-12,周一,工作日
894,2023-06-13,周二,工作日
895,2023-06-14,周三,工作日
896,2023-06-15,周四,工作日
897,2023-06-16,周五,工作日
898,2023-06-17,周六,周末
899,2023-06-18,周日,周末
900,2023-06-19,周一,工作日
901,2023-06-20,周二,工作日
902,2023-06-21,周三,工作日
903,2023-06-22,周四,端午节
904,2023-06-23,周五,端午节
905,2023-06-24,周六,端午节
906,2023-06-25,周日,端午节
907,2023-06-26,周一,工作日
908,2023-06-27,周二,工作日
909,2023-06-28,周三,工作日
910,2023-06-29,周四,工作日
911,2023-06-30,周五,工作日
912,2023-07-01,周六,周末
913,2023-07-02,周日,周末
914,2023-07-03,周一,工作日
915,2023-07-04,周二,工作日
916,2023-07-05,周三,工作日
917,2023-07-06,周四,工作日
918,2023-07-07,周五,工作日
919,2023-07-08,周六,周末
920,2023-07-09,周日,周末
921,2023-07-10,周一,工作日
922,2023-07-11,周二,工作日
923,2023-07-12,周三,工作日
924,2023-07-13,周四,工作日
925,2023-07-14,周五,工作日
926,2023-07-15,周六,周末
927,2023-07-16,周日,周末
928,2023-07-17,周一,工作日
929,2023-07-18,周二,工作日
930,2023-07-19,周三,工作日
931,2023-07-20,周四,工作日
932,2023-07-21,周五,工作日
933,2023-07-22,周六,周末
934,2023-07-23,周日,周末
935,2023-07-24,周一,工作日
936,2023-07-25,周二,工作日
937,2023-07-26,周三,工作日
938,2023-07-27,周四,工作日
939,2023-07-28,周五,工作日
940,2023-07-29,周六,周末
941,2023-07-30,周日,周末
942,2023-07-31,周一,工作日
943,2023-08-01,周二,工作日
944,2023-08-02,周三,工作日
945,2023-08-03,周四,工作日
946,2023-08-04,周五,工作日
947,2023-08-05,周六,周末
948,2023-08-06,周日,周末
949,2023-08-07,周一,工作日
950,2023-08-08,周二,工作日
951,2023-08-09,周三,工作日
952,2023-08-10,周四,工作日
953,2023-08-11,周五,工作日
954,2023-08-12,周六,周末
955,2023-08-13,周日,周末
956,2023-08-14,周一,工作日
957,2023-08-15,周二,工作日
958,2023-08-16,周三,工作日
959,2023-08-17,周四,工作日
960,2023-08-18,周五,工作日
961,2023-08-19,周六,周末
962,2023-08-20,周日,周末
963,2023-08-21,周一,工作日
964,2023-08-22,周二,工作日
965,2023-08-23,周三,工作日
966,2023-08-24,周四,工作日
967,2023-08-25,周五,工作日
968,2023-08-26,周六,周末
969,2023-08-27,周日,周末
970,2023-08-28,周一,工作日
971,2023-08-29,周二,工作日
972,2023-08-30,周三,工作日
973,2023-08-31,周四,工作日
974,2023-09-01,周五,工作日
975,2023-09-02,周六,周末
976,2023-09-03,周日,周末
977,2023-09-04,周一,工作日
978,2023-09-05,周二,工作日
979,2023-09-06,周三,工作日
980,2023-09-07,周四,工作日
981,2023-09-08,周五,工作日
982,2023-09-09,周六,周末
983,2023-09-10,周日,周末
984,2023-09-11,周一,工作日
985,2023-09-12,周二,工作日
986,2023-09-13,周三,工作日
987,2023-09-14,周四,工作日
988,2023-09-15,周五,工作日
989,2023-09-16,周六,周末
990,2023-09-17,周日,周末
991,2023-09-18,周一,工作日
992,2023-09-19,周二,工作日
993,2023-09-20,周三,工作日
994,2023-09-21,周四,工作日
995,2023-09-22,周五,工作日
996,2023-09-23,周六,周末
997,2023-09-24,周日,周末
998,2023-09-25,周一,工作日
999,2023-09-26,周二,工作日
1000,2023-09-27,周三,工作日
1001,2023-09-28,周四,工作日
1002,2023-09-29,周五,"中秋节,国庆节"
1003,2023-09-30,周六,"中秋节,国庆节"
1004,2023-10-01,周日,"中秋节,国庆节"
1005,2023-10-02,周一,"中秋节,国庆节"
1006,2023-10-03,周二,"中秋节,国庆节"
1007,2023-10-04,周三,"中秋节,国庆节"
1008,2023-10-05,周四,"中秋节,国庆节"
1009,2023-10-06,周五,"中秋节,国庆节"
1010,2023-10-07,周六,"中秋节,国庆节"
1011,2023-10-08,周日,"中秋节,国庆节"
1012,2023-10-09,周一,工作日
1013,2023-10-10,周二,工作日
1014,2023-10-11,周三,工作日
1015,2023-10-12,周四,工作日
1016,2023-10-13,周五,工作日
1017,2023-10-14,周六,周末
1018,2023-10-15,周日,周末
1019,2023-10-16,周一,工作日
1020,2023-10-17,周二,工作日
1021,2023-10-18,周三,工作日
1022,2023-10-19,周四,工作日
1023,2023-10-20,周五,工作日
1024,2023-10-21,周六,周末
1025,2023-10-22,周日,周末
1026,2023-10-23,周一,工作日
1027,2023-10-24,周二,工作日
1028,2023-10-25,周三,工作日
1029,2023-10-26,周四,工作日
1030,2023-10-27,周五,工作日
1031,2023-10-28,周六,周末
1032,2023-10-29,周日,周末
1033,2023-10-30,周一,工作日
1034,2023-10-31,周二,工作日
1035,2023-11-01,周三,工作日
1036,2023-11-02,周四,工作日
1037,2023-11-03,周五,工作日
1038,2023-11-04,周六,周末
1039,2023-11-05,周日,周末
1040,2023-11-06,周一,工作日
1041,2023-11-07,周二,工作日
1042,2023-11-08,周三,工作日
1043,2023-11-09,周四,工作日
1044,2023-11-10,周五,工作日
1045,2023-11-11,周六,周末
1046,2023-11-12,周日,周末
1047,2023-11-13,周一,工作日
1048,2023-11-14,周二,工作日
1049,2023-11-15,周三,工作日
1050,2023-11-16,周四,工作日
1051,2023-11-17,周五,工作日
1052,2023-11-18,周六,周末
1053,2023-11-19,周日,周末
1054,2023-11-20,周一,工作日
1055,2023-11-21,周二,工作日
1056,2023-11-22,周三,工作日
1057,2023-11-23,周四,工作日
1058,2023-11-24,周五,工作日
1059,2023-11-25,周六,周末
1060,2023-11-26,周日,周末
1061,2023-11-27,周一,工作日
1062,2023-11-28,周二,工作日
1063,2023-11-29,周三,工作日
1064,2023-11-30,周四,工作日
1065,2023-12-01,周五,工作日
1066,2023-12-02,周六,周末
1067,2023-12-03,周日,周末
1068,2023-12-04,周一,工作日
1069,2023-12-05,周二,工作日
1070,2023-12-06,周三,工作日
1071,2023-12-07,周四,工作日
1072,2023-12-08,周五,工作日
1073,2023-12-09,周六,周末
1074,2023-12-10,周日,周末
1075,2023-12-11,周一,工作日
1076,2023-12-12,周二,工作日
1077,2023-12-13,周三,工作日
1078,2023-12-14,周四,工作日
1079,2023-12-15,周五,工作日
1080,2023-12-16,周六,周末
1081,2023-12-17,周日,周末
1082,2023-12-18,周一,工作日
1083,2023-12-19,周二,工作日
1084,2023-12-20,周三,工作日
1085,2023-12-21,周四,工作日
1086,2023-12-22,周五,工作日
1087,2023-12-23,周六,周末
1088,2023-12-24,周日,周末
1089,2023-12-25,周一,工作日
1090,2023-12-26,周二,工作日
1091,2023-12-27,周三,工作日
1092,2023-12-28,周四,工作日
1093,2023-12-29,周五,工作日
1094,2023-12-30,周六,周末
1095,2023-12-31,周日,周末
1096,2024-01-01,周一,元旦
1097,2024-01-02,周二,工作日
1098,2024-01-03,周三,工作日
1099,2024-01-04,周四,工作日
1100,2024-01-05,周五,工作日
1101,2024-01-06,周六,周末
1102,2024-01-07,周日,周末
1103,2024-01-08,周一,工作日
1104,2024-01-09,周二,工作日
1105,2024-01-10,周三,工作日
1106,2024-01-11,周四,工作日
1107,2024-01-12,周五,工作日
1108,2024-01-13,周六,周末
1109,2024-01-14,周日,周末
1110,2024-01-15,周一,工作日
1111,2024-01-16,周二,工作日
1112,2024-01-17,周三,工作日
1113,2024-01-18,周四,工作日
1114,2024-01-19,周五,工作日
1115,2024-01-20,周六,周末
1116,2024-01-21,周日,周末
1117,2024-01-22,周一,工作日
1118,2024-01-23,周二,工作日
1119,2024-01-24,周三,工作日
1120,2024-01-25,周四,工作日
1121,2024-01-26,周五,工作日
1122,2024-01-27,周六,周末
1123,2024-01-28,周日,周末
1124,2024-01-29,周一,工作日
1125,2024-01-30,周二,工作日
1126,2024-01-31,周三,工作日
1127,2024-02-01,周四,工作日
1128,2024-02-02,周五,工作日
1129,2024-02-03,周六,周末
1130,2024-02-04,周日,春节
1131,2024-02-05,周一,工作日
1132,2024-02-06,周二,工作日
1133,2024-02-07,周三,工作日
1134,2024-02-08,周四,工作日
1135,2024-02-09,周五,工作日
1136,2024-02-10,周六,春节
1137,2024-02-11,周日,春节
1138,2024-02-12,周一,春节
1139,2024-02-13,周二,春节
1140,2024-02-14,周三,春节
1141,2024-02-15,周四,春节
1142,2024-02-16,周五,春节
1143,2024-02-17,周六,春节
1144,2024-02-18,周日,春节
1145,2024-02-19,周一,工作日
1146,2024-02-20,周二,工作日
1147,2024-02-21,周三,工作日
1148,2024-02-22,周四,工作日
1149,2024-02-23,周五,工作日
1150,2024-02-24,周六,周末
1151,2024-02-25,周日,周末
1152,2024-02-26,周一,工作日
1153,2024-02-27,周二,工作日
1154,2024-02-28,周三,工作日
1155,2024-02-29,周四,工作日
1156,2024-03-01,周五,工作日
1157,2024-03-02,周六,周末
1158,2024-03-03,周日,周末
1159,2024-03-04,周一,工作日
1160,2024-03-05,周二,工作日
1161,2024-03-06,周三,工作日
1162,2024-03-07,周四,工作日
1163,2024-03-08,周五,"工作日,妇女节"
1164,2024-03-09,周六,周末
1165,2024-03-10,周日,周末
1166,2024-03-11,周一,工作日
1167,2024-03-12,周二,工作日
1168,2024-03-13,周三,工作日
1169,2024-03-14,周四,工作日
1170,2024-03-15,周五,工作日
1171,2024-03-16,周六,周末
1172,2024-03-17,周日,周末
1173,2024-03-18,周一,工作日
1174,2024-03-19,周二,工作日
1175,2024-03-20,周三,工作日
1176,2024-03-21,周四,工作日
1177,2024-03-22,周五,工作日
1178,2024-03-23,周六,周末
1179,2024-03-24,周日,周末
1180,2024-03-25,周一,工作日
1181,2024-03-26,周二,工作日
1182,2024-03-27,周三,工作日
1183,2024-03-28,周四,工作日
1184,2024-03-29,周五,工作日
1185,2024-03-30,周六,周末
1186,2024-03-31,周日,周末
1187,2024-04-01,周一,工作日
1188,2024-04-02,周二,工作日
1189,2024-04-03,周三,工作日
1190,2024-04-04,周四,清明节
1191,2024-04-05,周五,清明节
1192,2024-04-06,周六,清明节
1193,2024-04-07,周日,清明节
1194,2024-04-08,周一,工作日
1195,2024-04-09,周二,工作日
1196,2024-04-10,周三,工作日
1197,2024-04-11,周四,工作日
1198,2024-04-12,周五,工作日
1199,2024-04-13,周六,周末
1200,2024-04-14,周日,周末
1201,2024-04-15,周一,工作日
1202,2024-04-16,周二,工作日
1203,2024-04-17,周三,工作日
1204,2024-04-18,周四,工作日
1205,2024-04-19,周五,工作日
1206,2024-04-20,周六,周末
1207,2024-04-21,周日,周末
1208,2024-04-22,周一,工作日
1209,2024-04-23,周二,工作日
1210,2024-04-24,周三,工作日
1211,2024-04-25,周四,工作日
1212,2024-04-26,周五,工作日
1213,2024-04-27,周六,周末
1214,2024-04-28,周日,劳动节
1215,2024-04-29,周一,工作日
1216,2024-04-30,周二,工作日
1217,2024-05-01,周三,劳动节
1218,2024-05-02,周四,劳动节
1219,2024-05-03,周五,劳动节
1220,2024-05-04,周六,劳动节
1221,2024-05-05,周日,劳动节
1222,2024-05-06,周一,工作日
1223,2024-05-07,周二,工作日
1224,2024-05-08,周三,工作日
1225,2024-05-09,周四,工作日
1226,2024-05-10,周五,工作日
1227,2024-05-11,周六,劳动节
1228,2024-05-12,周日,周末
1229,2024-05-13,周一,工作日
1230,2024-05-14,周二,工作日
1231,2024-05-15,周三,工作日
1232,2024-05-16,周四,工作日
1233,2024-05-17,周五,工作日
1234,2024-05-18,周六,周末
1235,2024-05-19,周日,周末
1236,2024-05-20,周一,工作日
1237,2024-05-21,周二,工作日
1238,2024-05-22,周三,工作日
1239,2024-05-23,周四,工作日
1240,2024-05-24,周五,工作日
1241,2024-05-25,周六,周末
1242,2024-05-26,周日,周末
1243,2024-05-27,周一,工作日
1244,2024-05-28,周二,工作日
1245,2024-05-29,周三,工作日
1246,2024-05-30,周四,工作日
1247,2024-05-31,周五,工作日
1248,2024-06-01,周六,周末
1249,2024-06-02,周日,周末
1250,2024-06-03,周一,工作日
1251,2024-06-04,周二,工作日
1252,2024-06-05,周三,工作日
1253,2024-06-06,周四,工作日
1254,2024-06-07,周五,工作日
1255,2024-06-08,周六,周末
1256,2024-06-09,周日,周末
1257,2024-06-10,周一,端午节
1258,2024-06-11,周二,工作日
1259,2024-06-12,周三,工作日
1260,2024-06-13,周四,工作日
1261,2024-06-14,周五,工作日
1262,2024-06-15,周六,周末
1263,2024-06-16,周日,周末
1264,2024-06-17,周一,工作日
1265,2024-06-18,周二,工作日
1266,2024-06-19,周三,工作日
1267,2024-06-20,周四,工作日
1268,2024-06-21,周五,工作日
1269,2024-06-22,周六,周末
1270,2024-06-23,周日,周末
1271,2024-06-24,周一,工作日
1272,2024-06-25,周二,工作日
1273,2024-06-26,周三,工作日
1274,2024-06-27,周四,工作日
1275,2024-06-28,周五,工作日
1276,2024-06-29,周六,周末
1277,2024-06-30,周日,周末
1278,2024-07-01,周一,工作日
1279,2024-07-02,周二,工作日
1280,2024-07-03,周三,工作日
1281,2024-07-04,周四,工作日
1282,2024-07-05,周五,工作日
1283,2024-07-06,周六,周末
1284,2024-07-07,周日,周末
1285,2024-07-08,周一,工作日
1286,2024-07-09,周二,工作日
1287,2024-07-10,周三,工作日
1288,2024-07-11,周四,工作日
1289,2024-07-12,周五,工作日
1290,2024-07-13,周六,周末
1291,2024-07-14,周日,周末
1292,2024-07-15,周一,工作日
1293,2024-07-16,周二,工作日
1294,2024-07-17,周三,工作日
1295,2024-07-18,周四,工作日
1296,2024-07-19,周五,工作日
1297,2024-07-20,周六,周末
1298,2024-07-21,周日,周末
1299,2024-07-22,周一,工作日
1300,2024-07-23,周二,工作日
1301,2024-07-24,周三,工作日
1302,2024-07-25,周四,工作日
1303,2024-07-26,周五,工作日
1304,2024-07-27,周六,周末
1305,2024-07-28,周日,周末
1306,2024-07-29,周一,工作日
1307,2024-07-30,周二,工作日
1308,2024-07-31,周三,工作日
1309,2024-08-01,周四,工作日
1310,2024-08-02,周五,工作日
1311,2024-08-03,周六,周末
1312,2024-08-04,周日,周末
1313,2024-08-05,周一,工作日
1314,2024-08-06,周二,工作日
1315,2024-08-07,周三,工作日
1316,2024-08-08,周四,工作日
1317,2024-08-09,周五,工作日
1318,2024-08-10,周六,周末
1319,2024-08-11,周日,周末
1320,2024-08-12,周一,工作日
1321,2024-08-13,周二,工作日
1322,2024-08-14,周三,工作日
1323,2024-08-15,周四,工作日
1324,2024-08-16,周五,工作日
1325,2024-08-17,周六,周末
1326,2024-08-18,周日,周末
1327,2024-08-19,周一,工作日
1328,2024-08-20,周二,工作日
1329,2024-08-21,周三,工作日
1330,2024-08-22,周四,工作日
1331,2024-08-23,周五,工作日
1332,2024-08-24,周六,周末
1333,2024-08-25,周日,周末
1334,2024-08-26,周一,工作日
1335,2024-08-27,周二,工作日
1336,2024-08-28,周三,工作日
1337,2024-08-29,周四,工作日
1338,2024-08-30,周五,工作日
1339,2024-08-31,周六,周末
1340,2024-09-01,周日,周末
1341,2024-09-02,周一,工作日
1342,2024-09-03,周二,工作日
1343,2024-09-04,周三,工作日
1344,2024-09-05,周四,工作日
1345,2024-09-06,周五,工作日
1346,2024-09-07,周六,周末
1347,2024-09-08,周日,周末
1348,2024-09-09,周一,工作日
1349,2024-09-10,周二,工作日
1350,2024-09-11,周三,工作日
1351,2024-09-12,周四,工作日
1352,2024-09-13,周五,工作日
1353,2024-09-14,周六,中秋节
1354,2024-09-15,周日,中秋节
1355,2024-09-16,周一,中秋节
1356,2024-09-17,周二,中秋节
1357,2024-09-18,周三,工作日
1358,2024-09-19,周四,工作日
1359,2024-09-20,周五,工作日
1360,2024-09-21,周六,周末
1361,2024-09-22,周日,周末
1362,2024-09-23,周一,工作日
1363,2024-09-24,周二,工作日
1364,2024-09-25,周三,工作日
1365,2024-09-26,周四,工作日
1366,2024-09-27,周五,工作日
1367,2024-09-28,周六,周末
1368,2024-09-29,周日,国庆节
1369,2024-09-30,周一,工作日
1370,2024-10-01,周二,国庆节
1371,2024-10-02,周三,国庆节
1372,2024-10-03,周四,国庆节
1373,2024-10-04,周五,国庆节
1374,2024-10-05,周六,国庆节
1375,2024-10-06,周日,国庆节
1376,2024-10-07,周一,国庆节
1377,2024-10-08,周二,工作日
1378,2024-10-09,周三,工作日
1379,2024-10-10,周四,工作日
1380,2024-10-11,周五,工作日
1381,2024-10-12,周六,国庆节
1382,2024-10-13,周日,周末
1383,2024-10-14,周一,工作日
1384,2024-10-15,周二,工作日
1385,2024-10-16,周三,工作日
1386,2024-10-17,周四,工作日
1387,2024-10-18,周五,工作日
1388,2024-10-19,周六,周末
1389,2024-10-20,周日,周末
1390,2024-10-21,周一,工作日
1391,2024-10-22,周二,工作日
1392,2024-10-23,周三,工作日
1393,2024-10-24,周四,工作日
1394,2024-10-25,周五,工作日
1395,2024-10-26,周六,周末
1396,2024-10-27,周日,周末
1397,2024-10-28,周一,工作日
1398,2024-10-29,周二,工作日
1399,2024-10-30,周三,工作日
1400,2024-10-31,周四,工作日
1401,2024-11-01,周五,工作日
1402,2024-11-02,周六,周末
1403,2024-11-03,周日,周末
1404,2024-11-04,周一,工作日
1405,2024-11-05,周二,工作日
1406,2024-11-06,周三,工作日
1407,2024-11-07,周四,工作日
1408,2024-11-08,周五,工作日
1409,2024-11-09,周六,周末
1410,2024-11-10,周日,周末
1411,2024-11-11,周一,工作日
1412,2024-11-12,周二,工作日
1413,2024-11-13,周三,工作日
1414,2024-11-14,周四,工作日
1415,2024-11-15,周五,工作日
1416,2024-11-16,周六,周末
1417,2024-11-17,周日,周末
1418,2024-11-18,周一,工作日
1419,2024-11-19,周二,工作日
1420,2024-11-20,周三,工作日
1421,2024-11-21,周四,工作日
1422,2024-11-22,周五,工作日
1423,2024-11-23,周六,周末
1424,2024-11-24,周日,周末
1425,2024-11-25,周一,工作日
1426,2024-11-26,周二,工作日
1427,2024-11-27,周三,工作日
1428,2024-11-28,周四,工作日
1429,2024-11-29,周五,工作日
1430,2024-11-30,周六,周末
1431,2024-12-01,周日,周末
1432,2024-12-02,周一,工作日
1433,2024-12-03,周二,工作日
1434,2024-12-04,周三,工作日
1435,2024-12-05,周四,工作日
1436,2024-12-06,周五,工作日
1437,2024-12-07,周六,周末
1438,2024-12-08,周日,周末
1439,2024-12-09,周一,工作日
1440,2024-12-10,周二,工作日
1441,2024-12-11,周三,工作日
1442,2024-12-12,周四,工作日
1443,2024-12-13,周五,工作日
1444,2024-12-14,周六,周末
1445,2024-12-15,周日,周末
1446,2024-12-16,周一,工作日
1447,2024-12-17,周二,工作日
1448,2024-12-18,周三,工作日
1449,2024-12-19,周四,工作日
1450,2024-12-20,周五,工作日
1451,2024-12-21,周六,周末
1452,2024-12-22,周日,周末
1453,2024-12-23,周一,工作日
1454,2024-12-24,周二,工作日
1455,2024-12-25,周三,工作日
1456,2024-12-26,周四,工作日
1457,2024-12-27,周五,工作日
1458,2024-12-28,周六,周末
1459,2024-12-29,周日,周末
1460,2024-12-30,周一,工作日
1461,2024-12-31,周二,工作日
1462,2025-01-01,周三,元旦
1463,2025-01-02,周四,工作日
1464,2025-01-03,周五,工作日
1465,2025-01-04,周六,周末
1466,2025-01-05,周日,周末
1467,2025-01-06,周一,工作日
1468,2025-01-07,周二,工作日
1469,2025-01-08,周三,工作日
1470,2025-01-09,周四,工作日
1471,2025-01-10,周五,工作日
1472,2025-01-11,周六,周末
1473,2025-01-12,周日,周末
1474,2025-01-13,周一,工作日
1475,2025-01-14,周二,工作日
1476,2025-01-15,周三,工作日
1477,2025-01-16,周四,工作日
1478,2025-01-17,周五,工作日
1479,2025-01-18,周六,周末
1480,2025-01-19,周日,周末
1481,2025-01-20,周一,工作日
1482,2025-01-21,周二,工作日
1483,2025-01-22,周三,工作日
1484,2025-01-23,周四,工作日
1485,2025-01-24,周五,工作日
1486,2025-01-25,周六,周末
1487,2025-01-26,周日,春节
1488,2025-01-27,周一,工作日
1489,2025-01-28,周二,春节
1490,2025-01-29,周三,春节
1491,2025-01-30,周四,春节
1492,2025-01-31,周五,春节
1493,2025-02-01,周六,春节
1494,2025-02-02,周日,春节
1495,2025-02-03,周一,春节
1496,2025-02-04,周二,春节
1497,2025-02-05,周三,工作日
1498,2025-02-06,周四,工作日
1499,2025-02-07,周五,工作日
1500,2025-02-08,周六,春节
1501,2025-02-09,周日,周末
1502,2025-02-10,周一,工作日
1503,2025-02-11,周二,工作日
1504,2025-02-12,周三,工作日
1505,2025-02-13,周四,工作日
1506,2025-02-14,周五,工作日
1507,2025-02-15,周六,周末
1508,2025-02-16,周日,周末
1509,2025-02-17,周一,工作日
1510,2025-02-18,周二,工作日
1511,2025-02-19,周三,工作日
1512,2025-02-20,周四,工作日
1513,2025-02-21,周五,工作日
1514,2025-02-22,周六,周末
1515,2025-02-23,周日,周末
1516,2025-02-24,周一,工作日
1517,2025-02-25,周二,工作日
1518,2025-02-26,周三,工作日
1519,2025-02-27,周四,工作日
1520,2025-02-28,周五,工作日
1521,2025-03-01,周六,周末
1522,2025-03-02,周日,周末
1523,2025-03-03,周一,工作日
1524,2025-03-04,周二,工作日
1525,2025-03-05,周三,工作日
1526,2025-03-06,周四,工作日
1527,2025-03-07,周五,工作日
1528,2025-03-08,周六,"周末,妇女节"
1529,2025-03-09,周日,周末
1530,2025-03-10,周一,工作日
1531,2025-03-11,周二,工作日
1532,2025-03-12,周三,工作日
1533,2025-03-13,周四,工作日
1534,2025-03-14,周五,工作日
1535,2025-03-15,周六,周末
1536,2025-03-16,周日,周末
1537,2025-03-17,周一,工作日
1538,2025-03-18,周二,工作日
1539,2025-03-19,周三,工作日
1540,2025-03-20,周四,工作日
1541,2025-03-21,周五,工作日
1542,2025-03-22,周六,周末
1543,2025-03-23,周日,周末
1544,2025-03-24,周一,工作日
1545,2025-03-25,周二,工作日
1546,2025-03-26,周三,工作日
1547,2025-03-27,周四,工作日
1548,2025-03-28,周五,工作日
1549,2025-03-29,周六,周末
1550,2025-03-30,周日,周末
1551,2025-03-31,周一,工作日
1552,2025-04-01,周二,工作日
1553,2025-04-02,周三,工作日
1554,2025-04-03,周四,工作日
1555,2025-04-04,周五,清明节
1556,2025-04-05,周六,清明节
1557,2025-04-06,周日,清明节
1558,2025-04-07,周一,工作日
1559,2025-04-08,周二,工作日
1560,2025-04-09,周三,工作日
1561,2025-04-10,周四,工作日
1562,2025-04-11,周五,工作日
1563,2025-04-12,周六,周末
1564,2025-04-13,周日,周末
1565,2025-04-14,周一,工作日
1566,2025-04-15,周二,工作日
1567,2025-04-16,周三,工作日
1568,2025-04-17,周四,工作日
1569,2025-04-18,周五,工作日
1570,2025-04-19,周六,周末
1571,2025-04-20,周日,周末
1572,2025-04-21,周一,工作日
1573,2025-04-22,周二,工作日
1574,2025-04-23,周三,工作日
1575,2025-04-24,周四,工作日
1576,2025-04-25,周五,工作日
1577,2025-04-26,周六,周末
1578,2025-04-27,周日,劳动节
1579,2025-04-28,周一,工作日
1580,2025-04-29,周二,工作日
1581,2025-04-30,周三,工作日
1582,2025-05-01,周四,劳动节
1583,2025-05-02,周五,劳动节
1584,2025-05-03,周六,劳动节
1585,2025-05-04,周日,劳动节
1586,2025-05-05,周一,劳动节
1587,2025-05-06,周二,工作日
1588,2025-05-07,周三,工作日
1589,2025-05-08,周四,工作日
1590,2025-05-09,周五,工作日
1591,2025-05-10,周六,周末
1592,2025-05-11,周日,周末
1593,2025-05-12,周一,工作日
1594,2025-05-13,周二,工作日
1595,2025-05-14,周三,工作日
1596,2025-05-15,周四,工作日
1597,2025-05-16,周五,工作日
1598,2025-05-17,周六,周末
1599,2025-05-18,周日,周末
1600,2025-05-19,周一,工作日
1601,2025-05-20,周二,工作日
1602,2025-05-21,周三,工作日
1603,2025-05-22,周四,工作日
1604,2025-05-23,周五,工作日
1605,2025-05-24,周六,周末
1606,2025-05-25,周日,周末
1607,2025-05-26,周一,工作日
1608,2025-05-27,周二,工作日
1609,2025-05-28,周三,工作日
1610,2025-05-29,周四,工作日
1611,2025-05-30,周五,工作日
1612,2025-05-31,周六,端午节
1613,2025-06-01,周日,端午节
1614,2025-06-02,周一,端午节
1615,2025-06-03,周二,工作日
1616,2025-06-04,周三,工作日
1617,2025-06-05,周四,工作日
1618,2025-06-06,周五,工作日
1619,2025-06-07,周六,周末
1620,2025-06-08,周日,周末
1621,2025-06-09,周一,工作日
1622,2025-06-10,周二,工作日
1623,2025-06-11,周三,工作日
1624,2025-06-12,周四,工作日
1625,2025-06-13,周五,工作日
1626,2025-06-14,周六,周末
1627,2025-06-15,周日,周末
1628,2025-06-16,周一,工作日
1629,2025-06-17,周二,工作日
1630,2025-06-18,周三,工作日
1631,2025-06-19,周四,工作日
1632,2025-06-20,周五,工作日
1633,2025-06-21,周六,周末
1634,2025-06-22,周日,周末
1635,2025-06-23,周一,工作日
1636,2025-06-24,周二,工作日
1637,2025-06-25,周三,工作日
1638,2025-06-26,周四,工作日
1639,2025-06-27,周五,工作日
1640,2025-06-28,周六,周末
1641,2025-06-29,周日,周末
1642,2025-06-30,周一,工作日
1643,2025-07-01,周二,工作日
1644,2025-07-02,周三,工作日
1645,2025-07-03,周四,工作日
1646,2025-07-04,周五,工作日
1647,2025-07-05,周六,周末
1648,2025-07-06,周日,周末
1649,2025-07-07,周一,工作日
1650,2025-07-08,周二,工作日
1651,2025-07-09,周三,工作日
1652,2025-07-10,周四,工作日
1653,2025-07-11,周五,工作日
1654,2025-07-12,周六,周末
1655,2025-07-13,周日,周末
1656,2025-07-14,周一,工作日
1657,2025-07-15,周二,工作日
1658,2025-07-16,周三,工作日
1659,2025-07-17,周四,工作日
1660,2025-07-18,周五,工作日
1661,2025-07-19,周六,周末
1662,2025-07-20,周日,周末
1663,2025-07-21,周一,工作日
1664,2025-07-22,周二,工作日
1665,2025-07-23,周三,工作日
1666,2025-07-24,周四,工作日
1667,2025-07-25,周五,工作日
1668,2025-07-26,周六,周末
1669,2025-07-27,周日,周末
1670,2025-07-28,周一,工作日
1671,2025-07-29,周二,工作日
1672,2025-07-30,周三,工作日
1673,2025-07-31,周四,工作日
1674,2025-08-01,周五,工作日
1675,2025-08-02,周六,周末
1676,2025-08-03,周日,周末
1677,2025-08-04,周一,工作日
1678,2025-08-05,周二,工作日
1679,2025-08-06,周三,工作日
1680,2025-08-07,周四,工作日
1681,2025-08-08,周五,工作日
1682,2025-08-09,周六,周末
1683,2025-08-10,周日,周末
1684,2025-08-11,周一,工作日
1685,2025-08-12,周二,工作日
1686,2025-08-13,周三,工作日
1687,2025-08-14,周四,工作日
1688,2025-08-15,周五,工作日
1689,2025-08-16,周六,周末
1690,2025-08-17,周日,周末
1691,2025-08-18,周一,工作日
1692,2025-08-19,周二,工作日
1693,2025-08-20,周三,工作日
1694,2025-08-21,周四,工作日
1695,2025-08-22,周五,工作日
1696,2025-08-23,周六,周末
1697,2025-08-24,周日,周末
1698,2025-08-25,周一,工作日
1699,2025-08-26,周二,工作日
1700,2025-08-27,周三,工作日
1701,2025-08-28,周四,工作日
1702,2025-08-29,周五,工作日
1703,2025-08-30,周六,周末
1704,2025-08-31,周日,周末
1705,2025-09-01,周一,工作日
1706,2025-09-02,周二,工作日
1707,2025-09-03,周三,工作日
1708,2025-09-04,周四,工作日
1709,2025-09-05,周五,工作日
1710,2025-09-06,周六,周末
1711,2025-09-07,周日,周末
1712,2025-09-08,周一,工作日
1713,2025-09-09,周二,工作日
1714,2025-09-10,周三,工作日
1715,2025-09-11,周四,工作日
